FIELD,DESCRIPTION,QUESTIONS
CASEREF,"Unique identifier used to identify a single application/certificate
Used as the key field for linking many of the tables in LIS.",
REGISTERED,Date the application was registered on the system,
APPLICATION_MONTH,Derived from the REGISTERED date and in format of YYYYMM,
CLAIMTYPE,"Identifier for the type of claim submitted
0 = represents claims via HC1 (support)
1 = represents claims via HC1 with a HC5
3 = represents a HC5 claim (refund)",
CERTTYPE,"Outcome of application: 
AHC4 : HC4 – over capital limit
HBDTC : Tax credit exemption
HBD03 : Nass supported (asylum seeker)
HBD08 : Passporting benefit
AHC3 : HC3 partial help with health costs
AHC2 : HC2 – full help with health costs
AHC5 : HC5 - Refund. 

This is for HC1 element only. Outcomes regarding refunds are dealt with in data enclosures",
LASTASSESSMENTREC,Use this for the data assessment table so that you select the last assessment rec no for each case ref when looking at refunds. Join to data assessment/enclosures on case ref and assessment rec no,
CASE_OUTCOME,"Derived from the status events:
APPLICATION_ONGOING = certificate has not yet been printed and application received since 01-Jan-2021
APPLICATION_WITHDRAWN = application explicitly withdrawn by customer
APPLICATION_ABANDONED = certificate has not been printed and application received before 01-Jan-2021
CERTIFICATE_ISSUED = certificate/response has been printed and issued to customer

Please note, the response could be a LIS support certifcate HC2/HC3 or a letter informing them they will not get additional support.

CERTIFICATE_ISSUED is the only outcome that represents a certificate being issued to the applicant.  Although cases with other outcomes may have a certificate record, these have not been issued to the customer.  For example, for APPLICATION_ONGOING the certificates may be currently sitting in a print queue whereas for APPLICATION_ABANDONED we may have requested additional information before printing the certificate but the applicant did not provide a response.",
LATEST_STATUS,"The latest status code that can be identified for the application
For cases where the certificate has been issued this will always be ""CERT_PRINTED""",
LATEST_STATUS_DESC,"The description of the latest status code that can be identified for the application
For cases where the certificate has been issued this will always be ""certificate issued to applicant""",
RECTYPE,"The type of certificate produced based on the following options:
HC2  = full help with health costs
HC3  = partial assistance with health costs (excluding prescriptions)
HC2A = full help with health costs (return to assessor - this is because there were original documents with the claim that will be returned with the certificate, only applies to HC2 because all HC3's are returned to the Assessor to be posted with a breakdown of why they did not get full help.) 
HBD08 = Passporting benefit
HBDTC = Tax credit exemption
HC4  = Overcapital
HBD03 = NASS Supported Asylum Seeker
UNKNW = This status likely identifies a case that was assessed but was caught as needing further information during checking",
